number,active,type,blocked_list
number,0,NONE,blocked_list
0099887766,1,SELECTIVE,9528858299
9528858300,1,SELECTIVE,1234567890|0987654321
9528858302,1,SELECTIVE,2345678901|3456789012|4567890123
2345678901,1,GLOBAL,
8439747988,1,SELECTIVE,1234554321|0987667890
1357924680,1,SELECTIVE,2468013579
8630335808,1,SELECTIVE,2345678901
1234123123,1,SELECTIVE,1231231123|1241241241
1231231234,1,GLOBAL,
1234554321,0,NONE,
5675675677,0,NONE,
1231231231,1,GLOBAL,
9528859299,1,SELECTIVE,1234123412
9325040708,1,SELECTIVE,1231231212
9594722699,1,SELECTIVE,2345678901|3456789012|0987654321
9628858299,1,SELECTIVE,1234512345
6387376778,1,GLOBAL,
9325040709,1,SELECTIVE,9528858299
9528858299,1,SELECTIVE,9325040709
7894561230,1,SELECTIVE,9090808070
0000000000,1,GLOBAL,
